,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
56013,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,3/31/2000,Parts per billion,34.708333,60,21,57,Parts per million,0.002,0.002,22,2,Parts per billion,4.916667,24,19,34,Parts per million,0.9,2.1,22,24
56012,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,3/31/2000,Parts per billion,34.708333,60,21,57,Parts per million,0.002,0.002,22,2,Parts per billion,4.916667,24,19,34,Parts per million,0.9625,4.5,18,
56014,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,3/31/2000,Parts per billion,34.708333,60,21,57,Parts per million,0.002,0.002,22,2,Parts per billion,4.8875,18.3,20,,Parts per million,0.9625,4.5,18,
56017,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,4/1/2000,Parts per billion,37.666667,61,20,58,Parts per million,0.01975,0.036,10,31,Parts per billion,9.333333,46,13,64,Parts per million,0.325,2,0,23
56021,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,4/2/2000,Parts per billion,25.833333,55,1,52,Parts per million,0.025667,0.036,10,31,Parts per billion,3.958333,12,1,17,Parts per million,0.275,1,2,11
68924,26,81,20,1179 MONROE NW,Michigan,Kent,Grand Rapids,3/31/2007,Parts per billion,8.125,14,19,13,Parts per million,0.021,0.021,23,18,Parts per billion,2.3125,6,23,,Parts per million,0.229167,0.3,17,3
58912,26,81,20,1179 MONROE NW,Michigan,Kent,Grand Rapids,3/31/2002,Parts per billion,14.041667,34,,32,Parts per million,0.019,0.019,23,16,Parts per billion,2.166667,4,15,6,Parts per million,0.216667,0.5,6,
58914,26,81,20,1179 MONROE NW,Michigan,Kent,Grand Rapids,3/31/2000,Parts per billion,14.041667,34,6,32,Parts per million,0.019,0.019,23,16,Parts per billion,2.1375,3,17,,Parts per million,0.216667,0.5,6,
58915,26,81,20,1179 MONROE NW,Michigan,Kent,Grand Rapids,3/31/2000,Parts per billion,14.041667,34,6,32,Parts per million,0.019,0.019,23,16,Parts per billion,2.1375,3,17,,Parts per million,0.245833,0.3,0,3
53028,23,3,1100,"8 NORTHERN ROAD, PRESQUE ISLE, ME 04769",Maine,Aroostook,Presque Isle,1/1/2006,Parts per billion,2.808696,5.2,2,5,Parts per million,0.030667,0.033,6,28,Parts per billion,2.943478,6,3,9,Parts per million,0.2,0.2,5,2
53032,23,3,1100,"8 NORTHERN ROAD, PRESQUE ISLE, ME 04769",Maine,Aroostook,Presque Isle,1/2/2006,Parts per billion,3.556522,14.5,23,13,Parts per million,0.025375,0.033,9,28,Parts per billion,1.713043,4.8,23,6,Parts per million,0.2,0.2,0,2
66354,23,5,29,"356 State Street, Portland,  Maine",Maine,Cumberland,Portland,5/1/2008,Parts per billion,17.291667,43,22,41,Parts per million,0.023458,0.04,9,34,Parts per billion,2.725,4.6,5,,Parts per million,0.247368,0.3,8,3
